,BU.SHF,BZ.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,L.DCE,LU.INE,MA.ZCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SP.SHF,TA.ZCE,V.DCE
20180417,0.9802447008853937,0.0,0.0,0.0,-7.802393987081956,0.0,-11.509068182046473,0.0,0.05402539320725841,0.0,0.0,0.0,-8.552668771213158,0.0,-5.827897256291051,0.0,-4.988898226547197,0.0,0.0,-17.99624786152186,-9.303287569636751
20180418,1.2677664882148834,0.0,0.0,0.0,-7.621047719903872,0.0,-12.752104655096606,0.0,1.1004224607901343,0.0,0.0,0.0,-8.636268021189466,0.0,-5.948953147596126,0.0,-4.421203564270446,0.0,0.0,-16.578527255071553,-9.17995868771445
20180419,1.3528252072880462,0.0,0.0,0.0,-6.965430567534986,0.0,-13.40782230417506,0.0,2.1112893249071263,0.0,0.0,0.0,-8.938694028489477,0.0,-5.291067866960022,0.0,-3.779273134665262,0.0,0.0,-14.67695777250014,-8.71456820112444
20180420,1.3151193897911453,0.0,0.0,0.0,-6.795393468329634,0.0,-13.962731556247114,0.0,2.6145421000407048,0.0,0.0,0.0,-9.18932987227144,0.0,-4.821467232961991,0.0,-3.395110187601775,0.0,0.0,-13.206914478843398,-8.328252927816783
20180423,1.1168665818219874,0.0,0.0,0.0,-6.546605569228453,0.0,-13.903521807939248,0.0,3.439578248934493,0.0,0.0,0.0,-9.309457919833841,0.0,-4.321164240428642,0.0,-3.2052662394515052,0.0,0.0,-12.024575648393839,-7.43118869175314
20180424,1.1751500044079801,0.0,0.0,0.0,-5.611769588374483,0.0,-13.543214570059881,0.0,4.296407914244972,0.0,0.0,0.0,-9.477268363065653,0.0,-3.9979026963504,0.0,-2.8826478187044056,0.0,0.0,-10.72996402410699,-6.356272653127221
20180425,0.6823774762846455,0.0,0.0,0.0,-6.109814744373427,0.0,-12.7623163827826,0.0,4.176546432886174,0.0,0.0,0.0,-9.030727928320053,0.0,-3.3422409006865137,0.0,-2.7559693891056547,0.0,0.0,-9.993750234143702,-5.039604851126406
20180426,0.4011264556876788,0.0,0.0,0.0,-6.326405862510079,0.0,-11.823151350179636,0.0,3.7276368033357383,0.0,0.0,0.0,-8.460128940763871,0.0,-2.8733498456634283,0.0,-2.787412045314266,0.0,0.0,-9.672972780047102,-3.7057827133155996
20180427,0.14488090434763023,0.0,0.0,0.0,-7.313568705604596,0.0,-11.319064848640728,0.0,3.318160111371968,0.0,0.0,0.0,-8.008236492114568,0.0,-2.9032208684764056,0.0,-2.725338567121465,0.0,0.0,-9.332671435072012,-2.537610943559951
20180502,0.24800504707555357,0.0,0.0,0.0,-7.717089613854778,0.0,-10.155580215727051,0.0,3.348520244998795,0.0,0.0,0.0,-6.7964175132955384,0.0,-2.7390507316386783,0.0,-2.6986263344052888,0.0,0.0,-8.191413323652508,-1.5711587328090857
