trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20181008,-37.679284244592345,-18.200231604777898,1.5308334129374508,2.3831084264949154,-33.22081896136801
20181009,-37.578021227525014,-18.450986253939465,1.5259349340789,2.3964564352631816,-33.13207758074021
20181010,-37.518323942618174,-18.695139224866164,1.5154877032864065,2.3980621335643617,-33.000179819447574
20181011,-37.485324222069515,-18.911646423627833,1.5075119950375027,2.3992124669910715,-32.83039226606817
20181012,-37.478476714089986,-19.151233761525223,1.5205247899162833,2.385186939151873,-33.94995731764099
20181015,-37.45095686178972,-19.28771995315244,1.523434903442115,2.379197048626265,-34.74824042540318
20181016,-37.840451265676435,-19.50173733154035,1.5538571868375564,2.382251140125367,-35.379434563912504
20181017,-40.84040128046899,-21.780962558104175,1.5899933087707947,2.4690998407505185,-34.862795050884046
20181018,-42.447682873554726,-22.38470844389562,1.6248042127080522,2.4807525538954014,-34.23615074776239
20181019,-43.52856803547068,-22.97197077743608,1.6383699134424976,2.4752264022496218,-34.20093939832292
20181022,-43.68318642923824,-23.31605673967217,1.6506254037081531,2.4707064538914874,-33.876095439358245
20181023,-43.79806253149858,-23.582786687229227,1.654296836864388,2.4671086643959876,-33.4910257082929
20181024,-44.03315433726524,-23.806319015592315,1.6572987452080175,2.4540162074203717,-32.47991860483592
20181025,-44.2662094107502,-24.01742431519715,1.6568210586972985,2.444083907468292,-31.62292105232222
20181026,-44.42806854125956,-24.1672782172178,1.6768951514212123,2.4339689020700304,-30.933381548802835
20181029,-44.17961480655896,-23.956579364589597,1.6815183808533745,2.427579391299476,-30.376893628506547
20181030,-44.52482699194938,-23.9179350214602,1.6892108020299372,2.4399317395085784,-30.02197931256354
20181031,-44.63031480369636,-23.82702124725947,1.694945926615603,2.453736911462162,-29.59453185878264
20181101,-44.595700739251335,-23.09503312600629,1.7072906236737877,2.4618534432989203,-28.775235097533304
20181102,-44.92635156778547,-22.257948072838662,1.7025567524464154,2.4678671637358716,-27.867840591566576
20181105,-45.234859229983485,-21.559485648002436,1.7598798186620055,2.486090260351099,-27.06677472611186
20181106,-44.93816918287642,-21.039406484000484,1.799806551019813,2.5291464261456613,-21.607560174179728
20181107,-44.67232931355004,-20.61352842247141,4.486887361385956,2.918108421068969,-20.072348083533463
20181108,-44.21369379754143,-20.267115367906175,8.47985526641824,6.433064596391732,-12.741935596415663
20181109,-43.88560176330401,-19.859075305592324,3.649168224178285,4.507684554297703,-7.099288702193017
20181112,-43.45515126117582,-19.590869231235086,8.603196318521338,6.448094116596319,-3.237934478153383
20181113,-43.05494840391992,-19.356646596428142,7.146293686266376,4.093681843873369,-2.2678791956330357
20181114,-42.79194938879737,-19.20334394064065,6.373533485542944,2.8910067935348374,-1.3038701493144507
20181115,-42.823935987521295,-19.39447274073264,4.021557556700772,0.767690628945132,-5.719870927123311
20181116,-35.71949219245498,-19.55522752413444,1.690622173369918,0.973344442480651,-2.2983452162622577
20181119,-30.226323127397347,-17.637472441382638,-1.6475442536758391,0.36002055449992554,2.016702385082689
20181120,-26.76682124466449,-16.648962067891638,-1.5789183315613249,-0.8424502966855216,1.4911156203433755
20181121,-18.078857257645257,-9.51455897519218,3.8790635238688487,2.3547662766111923,8.935039038371452
20181122,-17.855262490887704,-10.399011530521609,0.8573571375920507,-0.7376916119860677,9.641160934273506
20181123,-14.583954015386446,-8.80443761049708,2.160258345655062,0.29067729832764183,14.78669984136549
20181126,-7.461099950076275,-5.993420002604655,9.732130888806315,3.9491438583115883,12.050473075858566
20181127,-1.669982542166344,-3.686654169260355,11.81357997934379,5.200159647593586,10.775026597572287
20181128,2.793326648716502,-1.8458562214850198,9.226141934694736,4.797458637196569,7.386154832274123
20181129,6.46545472625448,-0.18049455074077508,7.942087459209275,3.0789015957093295,4.588982225774136
20181130,9.447957422516264,1.314987829399967,4.269080521166152,-0.8482489422169084,2.2671536058130024
20181203,11.520062031766104,2.435175344669237,5.49032707724582,-1.1177145273600821,0.38367923420494315
20181204,13.325925700295679,3.32198804160885,0.35087460504730433,-2.9975266254522324,-1.1148418664780415
20181205,14.500110115285755,3.881509278125749,-3.3922334670518217,-4.512186790285692,-2.325251857296512
20181206,15.374393158480842,4.302249226658967,-7.870839182937403,-5.688450383643252,-3.3283153728131505
20181207,16.09724081980608,4.686938185740376,-7.985959776360127,-6.302263189607982,-4.140137634273902
20181210,16.643523293181268,4.964917994513747,-11.980634227947322,-6.7443461863077925,-4.80929336834637
20181211,17.09353517518468,5.182137371325218,-15.46989305704115,-7.0988553291699255,-5.379896060950397
20181212,17.60559821549178,5.3595716366640005,-18.472370524965534,-7.414242522409902,-5.847932872018757
20181213,17.714810387210917,5.311504500528201,-20.50699959556726,-7.641480024326711,-6.220539434485616
20181214,17.783639074926256,5.266907298017072,-22.1632290808347,-7.834521747652541,-6.544310674519198
20181217,17.871701204516636,5.23085434501794,-23.424148455365025,-8.011291654471774,-6.806081325182142
20181218,18.12955710516263,5.213465297408841,-24.25183394492129,-8.165138059115026,-7.062067268588309
20181219,18.346183465832752,5.207477038123446,-24.780780715076368,-8.29283672768387,-7.32152984455994
20181220,18.45209046050868,5.207589636820287,-25.26238285768113,-8.404233393885452,-7.50915719218152
20181221,18.858456015796243,5.30890580436962,-25.81997559225198,-8.578619663905435,-7.951657732942729
20181224,19.24347880591697,5.450803470876201,-26.970492879883242,-8.812912510196126,-8.757624902232411
20181225,19.434409120470473,5.531538192899373,-27.414258915000264,-8.862807822715443,-9.731216943653976
20181226,19.65441170004825,5.605408798233722,-27.883714930073253,-8.921909705512395,-10.522824216040764
20181227,19.82440549242553,5.650073232534901,-28.270396491064396,-8.96912390664352,-11.165115977557953
20181228,20.085589172630417,5.706510625442614,-28.624980356010354,-9.007064152513768,-11.703679733266387
20190102,20.493493877323342,5.754627788319709,-29.259324583329285,-9.1802078077026,-12.150994941776345
20190103,20.68860552753953,5.7810729932491345,-29.42785311830591,-9.311683646112613,-12.592084455906212
20190104,21.138928756441125,5.904494764280932,-29.612278154522432,-9.433456454544645,-12.651255011695614
20190107,21.91518293261791,6.035920666523321,-29.761424069006598,-9.58145839718919,-12.94710640617044
20190108,22.537973930135482,6.1555911403842405,-30.13133912930098,-10.286600052620738,-13.215856372664964
20190109,23.70264146720823,6.324003114913928,-30.453036229064086,-11.163742473921443,-13.369069218813284
20190110,24.65774332765886,6.469134025904137,-30.74988287091034,-11.90353785762671,-13.445336741518501
20190111,25.461129990190756,6.586032196695614,-30.4278458729308,-12.355156472686813,-13.517914042919612
20190114,27.155059241406523,7.417725269324209,-30.708911761475417,-12.84276279367646,-13.586627959526592
20190115,28.09455233022908,8.032068171717755,-30.9693675148367,-13.241465707319335,-13.63631174426288
20190116,28.876437045012032,8.514329171069162,-31.24251575752227,-13.561633393122996,-13.736180061941363
20190117,29.504339557743823,8.884847003678253,-31.77633169006195,-13.969217619683498,-13.853083267102228
20190118,29.493267087062463,9.044705732855334,-32.4623248548457,-14.257025060495899,-13.634187395110288
20190121,29.709347096610795,9.176357601501776,-32.7053738988261,-14.39379350793147,-13.551465229610459
20190122,29.890395762835016,9.25596080358379,-32.92510912789138,-14.496461606040251,-13.36625918785678
