sector,strategyFile,window,z_open,z_close,max_hold,signal_mode,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.6_H_30_trend.csv,45,2.0,0.6,30,trend,0.3430444484043151,-30.85913247841075,1147,13.83829191459573,13.915336513931269
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.8_ZC_0.2_H_20_trend.csv,25,1.8,0.2,20,trend,0.34223755670100015,-34.444257267799394,1407,12.358836689038034,9.077120063510732
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.6_H_5_trend.csv,45,1.6,0.6,5,trend,0.3421274713668866,-27.382743244519247,2234,7.0671235637976215,7.453119351557187
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.4_H_15_trend.csv,45,1.8,0.4,15,trend,0.3419769085977192,-35.81270556185384,1717,11.526467203682396,11.155071115537577
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.2_H_5_trend.csv,45,1.6,0.2,5,trend,0.34157942997942775,-27.12906620517647,2360,7.214213607914395,7.518932572075649
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.4_ZC_0.8_H_5_trend.csv,45,1.4,0.8,5,trend,0.34119953450141577,-35.96403274496649,1342,7.610103166133049,7.149410786211225
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.2_ZC_0.2_H_5_trend.csv,25,1.2,0.2,5,trend,0.3393712672140909,-29.593453368797384,1302,7.216182364729457,5.552861949560739
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.2_H_15_trend.csv,50,1.2,0.2,15,trend,0.33791715062455424,-28.574947238174687,1416,14.766523798781861,10.54271379365083
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.2_H_15_trend.csv,45,2.0,0.2,15,trend,0.33789802278313347,-32.90700959366205,1147,11.72911813643927,11.716894661323618
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.8_H_15_trend.csv,45,1.8,0.8,15,trend,0.3376333495954898,-37.04131938956431,1711,10.114910313901346,10.290014523341878
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.0_H_5_trend.csv,50,1.2,0.0,5,trend,0.3372577490388409,-31.08631425589318,1419,9.785348631950573,7.814743887125928
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_2.0_ZC_0.4_H_30_trend.csv,20,2.0,0.4,30,trend,0.3370142262223303,-36.648585756694246,1150,10.640989729225023,8.834776077184188
Agriculture,MovingAverageV3_1_sector_Agriculture_M_30_ZO_1.2_ZC_0.0_H_30_trend.csv,30,1.2,0.0,30,trend,0.3365515236208679,-58.11693030158182,900,24.407952069716778,12.44002744076617
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.0_H_5_trend.csv,45,1.6,0.0,5,trend,0.3365322375293762,-26.985488108321988,2357,7.276105837204605,7.427824616934833
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.6_H_15_trend.csv,45,1.6,0.6,15,trend,0.3362745482437925,-29.810549607989923,1534,11.117559523809522,10.09156460203605
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.2_ZC_0.8_H_5_trend.csv,45,1.2,0.8,5,trend,0.3362401758231431,-33.749934839637774,1531,8.10249880630272,6.846967523886988
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.4_H_15_trend.csv,45,2.0,0.4,15,trend,0.33599979022977305,-35.76216330510538,1147,11.154228855721389,11.453346506973428
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.4_H_5_trend.csv,45,1.6,0.4,5,trend,0.33533167084847254,-26.673501468876168,2357,7.147812058882841,7.355268716307322
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.8_ZC_0.4_H_20_trend.csv,25,1.8,0.4,20,trend,0.33410692091238026,-36.73516197759167,1441,10.552744425385935,8.436360597345177
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.6_H_25_trend.csv,45,1.6,0.6,25,trend,0.3339487057621892,-31.9033021442265,1077,12.521237545883587,10.836632993473163
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_1.8_ZC_0.6_H_15_trend.csv,40,1.8,0.6,15,trend,0.33348725999028,-34.422138733930346,1711,10.384004237288137,9.897071819365607
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_2.0_ZC_0.4_H_30_trend.csv,50,2.0,0.4,30,trend,0.3331434620068614,-29.847675796638917,1533,15.572771718691236,14.59854998918356
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.2_ZC_0.6_H_5_trend.csv,25,1.2,0.6,5,trend,0.3328613142746132,-28.569252360160057,1416,6.550096805421104,5.1566599210446
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.8_H_15_trend.csv,45,1.6,0.8,15,trend,0.33198683972912285,-29.9355274174125,1461,10.072422062350121,9.391894187978039
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_2.0_ZC_0.6_H_30_trend.csv,20,2.0,0.6,30,trend,0.3308762888601213,-44.638084557571,1326,8.88868859846778,8.079605720019195
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_1.8_ZC_0.8_H_15_trend.csv,40,1.8,0.8,15,trend,0.33078611692212617,-31.79731969543625,1534,9.597084851639773,9.411061829907515
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.4_ZC_0.2_H_15_trend.csv,50,1.4,0.2,15,trend,0.3304298492263541,-34.441762341706664,1531,14.11016329514989,10.659149945608402
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.4_H_20_trend.csv,45,2.0,0.4,20,trend,0.3300042173968573,-37.58662241766035,1324,12.837939269873763,12.119913539326628
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_2.0_ZC_0.6_H_25_trend.csv,40,2.0,0.6,25,trend,0.328238933203774,-36.74458107726314,1150,12.456842796192976,12.039316618882008
