strategyFile,window,z_open,z_close,min_hold,max_hold,cooldown_days,signal_mode,zscore_method,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_4_M_50_ZO_1.8_ZC_0.0_MINH_5_H_15_CD_5_trend.csv,50,1.8,0.0,5,15,5,trend,price_ratio_over_vol,0.5530868715192702,-38.4596055354008,956,10.916288479413856,11.012589181191228
MovingAverageV3_4_M_25_ZO_2.0_ZC_0.2_MINH_3_H_20_CD_3_trend.csv,25,2.0,0.2,3,20,3,trend,price_ratio_over_vol,0.5526091993122006,-42.183517494199634,875,11.499829020859448,11.67890781474599
MovingAverageV3_4_M_30_ZO_2.0_ZC_0.8_MINH_3_H_20_CD_5_trend.csv,30,2.0,0.8,3,20,5,trend,price_ratio_over_vol,0.5520964594486739,-47.15732578648577,875,9.36245426400225,11.4830996918249
MovingAverageV3_4_M_20_ZO_1.8_ZC_0.8_MINH_3_H_20_CD_3_trend.csv,20,1.8,0.8,3,20,3,trend,price_ratio_over_vol,0.5513466295635312,-42.01685868544499,875,8.087812691383617,9.603164771594308
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.4_MINH_5_H_20_CD_3_trend.csv,30,1.2,0.4,5,20,3,trend,price_ratio_over_vol,0.5512022838937214,-38.95524416987361,859,10.540287869671868,9.673190281045603
MovingAverageV3_4_M_20_ZO_1.2_ZC_0.8_MINH_3_H_20_CD_3_trend.csv,20,1.2,0.8,3,20,3,trend,price_ratio_over_vol,0.5505461770213611,-39.92184918932185,875,7.41003196833612,7.896417345534398
MovingAverageV3_4_M_25_ZO_1.2_ZC_0.4_MINH_5_H_20_CD_5_trend.csv,25,1.2,0.4,5,20,5,trend,price_ratio_over_vol,0.5498627697971673,-44.96103242495485,875,10.327360823701609,9.393905101295784
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.4_MINH_3_H_20_CD_5_trend.csv,30,1.2,0.4,3,20,5,trend,price_ratio_over_vol,0.5490512987586721,-41.95200287836231,875,9.961303662859399,9.94512248517738
MovingAverageV3_4_M_40_ZO_1.4_ZC_0.8_MINH_3_H_20_CD_5_trend.csv,40,1.4,0.8,3,20,5,trend,price_ratio_over_vol,0.5485403449220652,-38.825486898413516,875,9.29489129901359,10.457941909573961
MovingAverageV3_4_M_30_ZO_2.0_ZC_0.6_MINH_5_H_20_CD_5_trend.csv,30,2.0,0.6,5,20,5,trend,price_ratio_over_vol,0.5485240228784766,-37.2396963413735,875,10.389097744360908,11.692102251631855
