,dailyPnl,Agriculture,Energy,Ferrous,NonFerrous,Precious,cumulativePnl
20111228,0.9566559230936161,0.676748479829093,0.07602088870614682,0.11824859143298051,0.0065999015568837666,0.07903806156851191,9.495203813341003
20111229,-0.040143869439676065,0.001731730555917845,-0.12855759041505818,-0.07304975344314178,-0.1512693439674933,0.3110010878300994,9.455059943901327
20111230,0.524616202903321,0.08644234441653689,0.20289791947746147,0.08134639395767754,0.2857929595667373,-0.1318634145150922,9.979676146804648
20120104,-0.03645131105318596,0.4391993371585122,-0.0049541138701731,-0.15962658365203763,-0.012907717400783272,-0.29816223328870417,9.943224835751462
20120105,0.2153077684731849,-0.08673333582969005,0.3352382492293882,0.08165866142490621,0.058088006074863495,-0.17294381242628296,10.158532604224646
20120106,0.0006746725283404957,-0.0503722314156011,0.04169033683002457,0.17145735654778524,-0.10884875723773584,-0.05325203219613235,10.159207276752987
20120109,0.08075042987097633,0.009397930328719996,0.08445042201954739,-0.033153132121167404,-0.09184053962478268,0.11189574926865903,10.239957706623963
20120110,0.6796965165404936,0.5029889090423882,0.006422112734037804,0.09935892223055229,0.13939899405998527,-0.06847242152646998,10.919654223164457
20120111,0.2849926917231957,0.09748571273424325,0.027457634490778947,0.11274026930839665,0.18960898599289577,-0.14229991080311893,11.204646914887652
20120112,-0.07824139345614602,-0.14400765120548584,-0.04943938477498366,0.003924567047895623,0.13853173164587226,-0.027250656169444363,11.126405521431506
20120113,-0.9235663421211125,-0.9663985641578935,-0.06254407559291136,-0.06808322760252558,0.1620658937698402,0.011393631462377532,10.202839179310393
20120116,-1.0090043024088817,-1.072038943488184,0.03166690330388188,0.04389052632926815,-0.06403439571798666,0.05151160716413917,9.193834876901512
20120117,1.8804320070166127,0.8150033712717124,0.521389622835643,0.2182603672126041,0.4841381964510713,-0.15835955075441804,11.074266883918124
20120118,-0.10844236110236036,-0.3203693516461896,0.1459031202033455,0.011589569149903726,0.015542697391885239,0.03889160379869474,10.965824522815764
20120119,0.7513963001833842,0.4106357788438376,0.013641695835006832,0.051908919630486584,0.3483411365477484,-0.07313123067369505,11.717220822999147
20120120,1.4789076965696746,0.8160757677192162,0.3707427825801805,0.027445632519389206,0.22326587053968522,0.04137764321120364,13.196128519568822
20120130,-0.28896130593958835,0.23420517109663833,0.06498068821750595,0.061307408345177075,-0.1188716854544152,-0.5305828881444945,12.907167213629233
20120131,0.23898540578606145,-0.04780435665112984,0.22637128138612106,-0.026075603576562748,0.15700009075950136,-0.07050600613186832,13.146152619415295
20120201,-0.16516181763431512,0.5313712074665004,-0.15235793728642347,-0.09352391000405072,-0.48803757039001405,0.037386392579672766,12.98099080178098
20120202,0.5383062018422061,0.2764090455568791,-0.02726796658175924,0.08995129974867296,0.28927090698087377,-0.09005708386246046,13.519297003623185
20120203,0.3152982025659988,0.14319958381970024,0.25060340888770627,0.04351254196088868,-0.0779912140059634,-0.04402611809633305,13.834595206189183
20120206,1.6331226794354923,0.8199558576955684,0.2669142293062076,0.12184194643552486,0.329366792089318,0.0950438539088731,15.467717885624676
20120207,-0.8935685801309469,-0.038932237585845964,-0.23587451614156296,-0.22879568372414208,-0.39774089946135577,0.007774756781959823,14.57414930549373
20120208,1.9754629104935344,0.6510256263634279,0.4710481749765816,0.2522648822980718,0.6130339969681231,-0.011909770112669615,16.549612215987263
20120209,-1.2586871094963912,-0.35019128172056774,-0.324923607052025,-0.23449746237445365,-0.33252264191703473,-0.016552116432310037,15.290925106490873
20120210,-0.5267751931567032,-0.3907918182151027,-0.09717661332409916,-0.066233026368816,0.05839059087834436,-0.030964326127029606,14.764149913334169
20120213,0.12438447395338652,0.44766904819944997,0.03190527660450164,-0.0783275362644082,-0.2635018536596036,-0.013360460926553384,14.888534387287555
20120214,-0.866546947772267,-0.18668293608954023,-0.11579786237245117,-0.059620984211577084,-0.4276770372975141,-0.07676812780118433,14.021987439515287
20120215,-0.13989693733474828,-0.05334870057467759,-0.10271669775315448,-0.15161159491538698,0.08768633785065794,0.08009371805781285,13.882090502180539
20120216,-1.9708315311266136,-0.5745338384749563,-0.5266495825309012,-0.11325638028596605,-0.6973078126679216,-0.05908391716686815,11.911258971053925
20120217,0.8129009754768518,0.4565306056295954,0.16294688215504438,-0.03308619399620454,0.11510647683377451,0.11140320485464192,12.724159946530778
20120220,0.34365780425755277,0.20182631968044795,0.07335199738070326,0.07022510647760585,-0.019057375418954012,0.017311756137749667,13.06781775078833
20120221,1.018417960502579,0.20249816988062033,0.2575243378197766,0.13030931725241873,0.34452235916514923,0.0835637763846142,14.08623571129091
20120222,0.23625043081150346,-0.13071267710686044,0.02750587246400605,0.057377299050585355,0.16384350798832223,0.11823642841545025,14.322486142102413
20120223,0.13125695073078614,-0.00936645695697742,-0.06349560604770683,-0.02534787224437594,0.03723176511019778,0.19223512086964853,14.4537430928332
20120224,-0.1402050533227828,-0.03126077468370956,0.0573404650300296,-0.003271792221682554,-0.15140545346201295,-0.011607497985407327,14.313538039510417
20120227,0.9183682492161289,0.39250005942189137,0.1027407963154627,0.09555195827470106,0.38713389314470925,-0.05955845794063559,15.231906288726547
20120228,0.7802120584796718,0.3270714649157153,0.07456481539285871,0.025452069786786886,0.31023965424952854,0.04288405413478234,16.01211834720622
20120229,0.06595977439612244,-0.09304479539823655,0.013934051223436507,0.020432844436963284,-0.013582966796017636,0.13822064092997685,16.078078121602342
20120301,-1.7247322709634276,-0.43053699853893157,-0.023378820920675163,-0.05882921084487036,-0.4656090758386113,-0.7463781648203395,14.353345850638915
20120302,0.9336109367439962,0.2752476661412926,0.14226514307959182,0.048598981315872085,0.43131261689351147,0.03618652931372833,15.28695678738291
20120305,-0.4576359836577139,-0.057403531661104096,-0.07934875543987775,-0.06263244654875741,-0.16705034796080379,-0.09120090204717092,14.829320803725198
20120306,-0.8240673492258376,-0.1793050654658656,-0.05857545733950728,-0.0039456284890050965,-0.4693659200607876,-0.11287527787067193,14.00525345449936
20120307,-1.0065338705028397,-0.08930209055695182,-0.13054513848740865,-0.04121531299410553,-0.4432140933716467,-0.3022572350927271,12.998719583996522
20120308,0.4779581924063964,0.1499447575544486,-0.0285233880814074,0.01828872784762238,0.15198030502471122,0.18626779006102157,13.476677776402918
20120309,1.6293024216006846,0.9500534440815168,0.08761321546837603,0.016967878012555122,0.40537903537072145,0.1692888486675152,15.105980198003602
20120312,-0.09894389570261608,-0.08203987122882575,0.01787453257260924,-0.015328001267346935,-0.03532339198289021,0.01587283620383755,15.007036302300985
20120313,0.5383870300873663,0.26968978316417624,0.041126699008920395,0.004547502776003452,0.24536384436629308,-0.022340799228026863,15.545423332388351
20120314,-0.5728306829254458,0.05143327276832977,-0.01677202783214688,-0.010205690212716922,-0.2788928271611673,-0.31839341048774444,14.972592649462905
20120315,0.03343974803693933,0.3229755502225971,-0.01821605796685029,-0.006029505560810683,-0.06508974212064933,-0.20020049653734745,15.006032397499844
20120316,0.3299439265803232,0.07891620539360104,-0.04878374318448666,0.0015170173048196986,0.17074436037675536,0.1275500866896337,15.335976324080168
20120319,-0.23228145193201946,0.026456616166430625,-0.08421827419077836,0.003009277982465494,-0.18386928870502842,0.006340216814891153,15.103694872148148
20120320,-0.41470748523839884,-0.44207106786662453,0.0870468665987798,-0.013244576812480523,0.001152510737683996,-0.04759121789575765,14.68898738690975
20120321,0.021308393487653766,-0.06416605123103221,0.23031489331009175,-0.03931566763040089,-0.10638630174283255,0.0008615207818276952,14.710295780397404
20120322,-0.48393841218656053,0.04705521008319157,-0.15057112270689868,0.002194885494428487,-0.3816591327060169,-0.0009582523512649795,14.226357368210843
20120323,0.3234983137518983,0.36327605914608113,-0.1187652913717619,-0.017161420614062277,0.09010090668735017,0.006048059904291032,14.549855681962741
20120326,0.16895554851330435,0.302743836514352,-0.053674651603599376,0.003354253422081506,-0.02204641409759248,-0.061421475721937235,14.718811230476046
20120327,-0.4925528923132101,0.018172857571961014,-0.5884007051885637,-0.0043752980907945495,0.2150914031346795,-0.13304114974049233,14.226258338162836
20120328,-0.06735579986836192,0.022416940416392788,0.06279194366309997,0.07812680918186025,-0.3510376591296165,0.12034616599990157,14.158902538294473
20120329,0.24392074942382175,-0.20063793027162943,0.4326914510782622,0.03406344325984883,-0.12898539447786156,0.10678917983520178,14.402823287718295
20120330,-0.06797070652559012,-0.2051723888042276,0.10010504349990865,-0.009027371002045094,0.05631017390273328,-0.010186164121959329,14.334852581192704
20120405,0.8370987330701561,0.9419985091695149,-0.19015072570477276,-0.007306459410351403,-0.22965053443937897,0.3222079434551443,15.171951314262861
20120406,0.4267191099677925,0.21400961695216023,-0.05368508839927822,0.015136031221788583,0.31054639272463824,-0.05928784253151629,15.598670424230654
20120409,0.26083919032465264,0.006392481272799171,0.3578287332974906,0.0644635485672688,-0.06775563761214273,-0.10008993520076322,15.859509614555307
20120410,-0.19019339729941367,0.013596345896132565,-0.02446236094401551,-0.025592446292681113,-0.0938436183825689,-0.059891317576280696,15.669316217255894
20120411,-0.3022505452313853,-0.2987755060241252,0.13438741318710076,-0.018633051841377802,-0.007688575243045396,-0.11154082530993764,15.36706567202451
20120412,-0.32763179951029214,0.030174434854692015,-0.28738665744190744,0.05630957953185664,-0.1700704850614718,0.04334132860653847,15.039433872514216
20120413,0.24292532063513608,0.10972499588793455,0.23035169589258842,0.1245588137741043,-0.04900804477780127,-0.17270214014168986,15.282359193149352
20120416,0.6562801505613725,-0.1882814887933437,-0.013152728680051587,0.15176320038843572,0.33379413954222786,0.37215702810410417,15.938639343710724
20120417,0.23765040000349338,0.18540304544330577,0.0744231846942428,0.029220648335929154,-0.022819039318216976,-0.02857743915176743,16.176289743714218
20120418,-0.9784613700454697,-0.18084238964693625,-0.38894329037855724,0.1434241567159417,-0.42601134245580696,-0.12608850428011095,15.197828373668749
20120419,0.22012178438828472,-0.19859653510669942,0.025483699097281924,0.07884304592592821,0.17168671377379033,0.1427048606979837,15.417950158057034
20120420,-0.04341312020080216,0.08423711457109778,0.012249512378509174,-0.0034337855656660647,-0.11846570571301132,-0.018000255871731714,15.374537037856232
20120423,1.2072642887374638,0.31948570603706683,0.325773950367366,0.4698546305501773,0.06937941143749787,0.022770590345355966,16.581801326593695
20120424,0.10882091447684394,-0.042926270749385514,0.23339177230629904,-0.006306323626431346,-0.12601482698841904,0.05067656353478079,16.69062224107054
20120425,-0.05770819818542249,-0.027558188564140322,0.10649521064698807,-0.05638069411510966,-0.012067667688259913,-0.06819685846490067,16.632914042885115
20120426,-0.6889832694405452,-0.05044542308403521,-0.19043190380522304,-0.05926936590892232,-0.2805800497950593,-0.10825652684730541,15.94393077344457
20120427,0.3372093751008643,0.09962848675746275,0.10249994130314691,0.1687198487810678,-0.02246741112041841,-0.01117149062039473,16.281140148545436
20120502,-0.4342124289768337,0.05527762671134935,-0.2122029026439791,0.1147161092834478,-0.3961250937764032,0.0041218314487514824,15.846927719568603
20120503,1.067973424324201,0.10404930256268628,0.39879428916170107,0.12967703017220675,0.302793624159923,0.1326591782676838,16.914901143892806
20120504,-0.2923245605662508,-0.14898863662473902,-0.10294317886292087,-0.12467111808214516,0.00020295353357806397,0.08407541946997617,16.622576583326556
20120507,1.5176621568373874,0.19201834420468145,0.8609721465741341,0.1842384799748951,0.3267962476434093,-0.046363061559732584,18.140238740163944
20120508,0.5650706731877386,0.11075969472466246,0.054603205631093985,0.2769648997165039,0.01430796104581166,0.10843491206966654,18.70530941335168
20120509,1.493148626252246,0.49600352529186187,0.1997942224683583,0.09748314370886978,0.19073467202249764,0.5091330627606582,20.198458039603928
20120510,-0.33939766949294886,-0.08172305955102044,-0.11714610086563167,-0.07588385797993216,-0.030185544197288514,-0.03445910689907609,19.859060370110978
20120511,2.9127314927514476,1.4807689098225916,0.764775840542241,0.2963839173397926,0.2117320061355878,0.1590708189112349,22.771791862862425
20120514,2.883316229166456,1.6469661048434263,0.298854577545392,0.5995488134557919,0.24605277921962332,0.09189395410222244,25.655108092028883
20120515,0.8421387072153123,0.14704262386558853,0.07319073805790524,0.3158455676759719,0.012889925529080694,0.2931698520867658,26.497246799244195
20120516,4.003362109936046,1.8044563756025762,0.6164728080372976,0.4574919777115048,0.27133987728005066,0.8536010713046174,30.50060890918024
20120517,-2.802985128224976,-1.1007279514762878,-0.4830537647077348,-0.3765373336085086,-0.17613549337009618,-0.666530585062349,27.697623780955265
20120518,1.1483025928197246,0.9299947520585312,0.4715429036707502,0.21206075778220165,0.1814722923732841,-0.6467681130650427,28.84592637377499
20120521,-2.7894875189143105,-1.4099842099800517,-0.3964609429205936,-0.2005146447370956,-0.2706809640685796,-0.5118467572079903,26.05643885486068
20120522,0.7378409484225245,0.1977171792236385,0.08527220012472707,0.10784535843072221,0.07125472810184663,0.2757514825415899,26.794279803283203
20120523,3.972699777524298,1.9116925899734951,0.545135721866477,0.509935446205508,0.4272361411549992,0.5786998783238186,30.7669795808075
20120524,-1.0088834124416706,-0.6359840292919219,-0.08953292315518167,-0.07249893851858515,-0.03152469862799391,-0.17934282284798803,29.75809616836583
20120525,0.7126625124087946,1.1009481203034246,0.013356606197144858,-0.08997593551622203,-0.14743398008187028,-0.16423229849368257,30.470758680774626
