,A.DCE,AD.SHF,AG.SHF,AL.SHF,AO.SHF,AP.ZCE,AU.SHF,B.DCE,BU.SHF,BZ.DCE,C.DCE,CF.ZCE,CS.DCE,CU.SHF,CY.ZCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,HC.SHF,I.DCE,J.DCE,JD.DCE,JM.DCE,L.DCE,LG.DCE,LH.DCE,LU.INE,M.DCE,MA.ZCE,NI.SHF,OI.ZCE,OP.SHF,P.DCE,PB.SHF,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RB.SHF,RM.ZCE,RU.SHF,SA.ZCE,SC.INE,SF.ZCE,SH.ZCE,SM.ZCE,SN.SHF,SP.SHF,SR.ZCE,SS.SHF,TA.ZCE,UR.ZCE,V.DCE,Y.DCE,ZN.SHF
20100222,-14.4014961153494,0.0,0.0,-14.343666086229542,0.0,0.0,-40.79626458750592,-12.375682683145818,0.0,0.0,-32.97858151525769,-3.804295208267764,0.0,-13.439937751657627,0.0,0.0,0.0,0.0,-19.847889167734767,0.0,0.0,0.0,0.0,0.0,-6.88658212273319,0.0,0.0,0.0,-12.701834508063532,0.0,0.0,0.0,0.0,-3.334032440390375,0.0,0.0,0.0,0.0,0.0,0.0,-13.172853003589667,0.0,-6.209308816774676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.803198267740799,0.0,-6.273677972633551,0.0,-9.94586494576879,-4.955587920597568,-10.32483729085422
20100223,-13.24103396603794,0.0,0.0,-14.878216733301011,0.0,0.0,-40.65641675102099,-12.18175779308488,0.0,0.0,-30.79824537124277,-1.774501520366036,0.0,-13.045538561531773,0.0,0.0,0.0,0.0,-17.134096630444567,0.0,0.0,0.0,0.0,0.0,-5.210753695045625,0.0,0.0,0.0,-11.348798094545124,0.0,0.0,0.0,0.0,-1.9672621683580995,0.0,0.0,0.0,0.0,0.0,0.0,-12.197454865795953,0.0,-5.427214400055515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.282765441311005,0.0,-4.8106524949300535,0.0,-8.213433001074932,-3.6381745527236937,-10.1546254715949
20100224,-11.75779631697888,0.0,0.0,-15.384870171730528,0.0,0.0,-40.25061494834557,-11.661738025469328,0.0,0.0,-27.718306483450988,0.0081143617104294,0.0,-12.634762704465729,0.0,0.0,0.0,0.0,-15.510620571882749,0.0,0.0,0.0,0.0,0.0,-3.772960476985751,0.0,0.0,0.0,-9.635424719250569,0.0,0.0,0.0,0.0,-0.543531124736943,0.0,0.0,0.0,0.0,0.0,0.0,-11.008693433026052,0.0,-4.729528913406413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.843479642261245,0.0,-3.371196990285994,0.0,-6.774113738460668,-2.2221198054846485,-9.9810846429142
20100225,-10.580241643023031,0.0,0.0,-15.869674610210954,0.0,0.0,-39.87101652035059,-11.124922396716633,0.0,0.0,-25.11906643236238,1.4950210442110414,0.0,-12.307812023915377,0.0,0.0,0.0,0.0,-14.273556641780186,0.0,0.0,0.0,0.0,0.0,-2.5182986000266387,0.0,0.0,0.0,-8.215778593119756,0.0,0.0,0.0,0.0,0.7793859525455011,0.0,0.0,0.0,0.0,0.0,0.0,-9.991889092444929,0.0,-4.06308507892408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.384120476587961,0.0,-1.9748496390729997,0.0,-5.5063301179088215,-0.9554430544116278,-9.955979077702375
20100226,-9.58591516358893,0.0,0.0,-16.35073643612932,0.0,0.0,-39.51448686262095,-10.623300340878185,0.0,0.0,-22.914395808537883,2.646077815082801,0.0,-12.061937226399545,0.0,0.0,0.0,0.0,-13.262878274991516,0.0,0.0,0.0,0.0,0.0,-1.5284043546935653,0.0,0.0,0.0,-7.000537189630684,0.0,0.0,0.0,0.0,1.9244557443334904,0.0,0.0,0.0,0.0,0.0,0.0,-9.193156719360426,0.0,-3.515409217885689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99573872728924,0.0,-0.8732339418849208,0.0,-4.458730422412794,0.1391306998409685,-9.939107482170442
20100301,-8.696381002519795,0.0,0.0,-16.91911374039665,0.0,0.0,-39.825039737250165,-10.090179719860975,0.0,0.0,-21.272846814450237,3.726018234108299,0.0,-11.927056834860958,0.0,0.0,0.0,0.0,-12.386155815790644,0.0,0.0,0.0,0.0,0.0,-0.62040950247186,0.0,0.0,0.0,-5.969983082761721,0.0,0.0,0.0,0.0,2.865289005148998,0.0,0.0,0.0,0.0,0.0,0.0,-8.52990334396842,0.0,-3.0309770492216104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55110401325878,0.0,0.206590463620759,0.0,-3.590792602614181,1.0840286471989349,-9.998395008078338
20100302,-7.676176097753223,0.0,0.0,-17.26488250325702,0.0,0.0,-39.67261036396702,-9.530973085422213,0.0,0.0,-19.39186196559876,4.765966863793131,0.0,-11.642925591754183,0.0,0.0,0.0,0.0,-11.51863884660855,0.0,0.0,0.0,0.0,0.0,0.2311467621669208,0.0,0.0,0.0,-4.943900457076817,0.0,0.0,0.0,0.0,3.7400865543061896,0.0,0.0,0.0,0.0,0.0,0.0,-7.918648172218311,0.0,-2.5936040472521547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.979311641945737,0.0,1.1067015473851818,0.0,-2.827151428086766,1.9963711065237808,-9.996863268775948
20100303,-6.648662838845558,0.0,0.0,-17.610890967094207,0.0,0.0,-39.62052680029723,-8.921503619530295,0.0,0.0,-17.613021456956698,5.811036308295376,0.0,-11.369062908221904,0.0,0.0,0.0,0.0,-10.756440480906049,0.0,0.0,0.0,0.0,0.0,0.8253784403695034,0.0,0.0,0.0,-4.022872471446648,0.0,0.0,0.0,0.0,4.594429316858735,0.0,0.0,0.0,0.0,0.0,0.0,-7.440115345626724,0.0,-2.300344330835144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20580387092287,0.0,1.769406870592097,0.0,-2.180033381058597,2.912247434098332,-9.99376225617665
20100304,-5.574038515327051,0.0,0.0,-17.69211431265205,0.0,0.0,-39.16749149126181,-8.211681843515912,0.0,0.0,-15.942008053822306,6.77358928843005,0.0,-11.129997703355846,0.0,0.0,0.0,0.0,-10.032697716315504,0.0,0.0,0.0,0.0,0.0,1.3474406001979868,0.0,0.0,0.0,-3.1538504456184184,0.0,0.0,0.0,0.0,5.422634465439104,0.0,0.0,0.0,0.0,0.0,0.0,-7.086395971137122,0.0,-2.0795663122406607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.361490437810938,0.0,2.2900984869683474,0.0,-1.5778501066229271,3.854734160420581,-9.960495888384642
20100305,-4.63151164688147,0.0,0.0,-18.26274513575917,0.0,0.0,-31.03971026024945,-7.558266150801398,0.0,0.0,-14.565519925102535,7.589272270723834,0.0,-8.790530071869867,0.0,0.0,0.0,0.0,-9.334881389265606,0.0,0.0,0.0,0.0,0.0,1.7051995766628991,0.0,0.0,0.0,-2.4353520938469835,0.0,0.0,0.0,0.0,6.11537029805441,0.0,0.0,0.0,0.0,0.0,0.0,-6.789548982678398,0.0,-1.9598348995755848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.60352395763706,0.0,2.6290501807019786,0.0,-1.0814449979854803,4.711928030231723,-10.042398754066314
