,Simple_PnL,Position_Factor,Compound_PnL_Rate,Compound_Net_Value,Drawdown,Max_Drawdown
20220224,1.0754591615027471,0.5,0.006721619759392169,1.908782632296371,0.05251836346434857,0.09102342593912305
20220225,-1.7612047133393336,0.5,-0.011007529458370836,1.8877716512417422,0.06294779548978013,0.09102342593912305
20220228,0.8168625129706416,0.5,0.00510539070606651,1.8974094630851677,0.05816377787377447,0.09102342593912305
20220301,0.4073505600839061,0.5,0.002545941000524413,1.9022401556320192,0.05576591842008427,0.09102342593912305
20220302,1.3013952252584386,0.5,0.008133720157865242,1.9177124447309841,0.04808578263699437,0.09102342593912305
20220303,2.1632785253129576,0.8,0.021632785253129574,1.9591979062251035,0.02749322679337962,0.09102342593912305
20220304,-1.1661767422458604,1.0,-0.014577209278073256,1.9306382683288972,0.04166966155075624,0.09102342593912305
20220307,3.078537585991105,0.8,0.03078537585991105,1.99007369306893,0.012167101883640563,0.09102342593912305
20220308,0.517727099006615,1.0,0.006471588737582686,2.0029526315679544,0.005774253625577042,0.09102342593912305
20220309,-0.4271858681639679,1.0,-0.005339823352049599,1.9922572183328586,0.011083243483276162,0.09102342593912305
20220310,-3.0548339209790547,1.0,-0.038185424012238185,1.916182031709376,0.048845449143674724,0.09102342593912305
20220311,0.45230295718104,0.8,0.0045230295718104,1.9248489797037693,0.044543348982789444,0.09102342593912305
20220314,-0.8803946917225757,0.8,-0.008803946917225759,1.9079027114627811,0.0529551386200553,0.09102342593912305
20220315,-1.7160002566004748,0.5,-0.010725001603752967,1.887440451822538,0.06311219627718123,0.09102342593912305
20220316,1.0100669100663235,0.5,0.006312918187914522,1.899355708979454,0.05719770022102433,0.09102342593912305
20220317,-0.5236172445078634,0.5,-0.0032726077781741465,1.8931398627127283,0.060283122360561436,0.09102342593912305
20220318,1.1021556101866927,0.5,0.006888472563666829,1.906180704716209,0.05380990843132749,0.09102342593912305
20220321,-0.0042133286816725,0.5,-2.633330426045313e-05,1.9061305086797362,0.053834824742897025,0.09102342593912305
20220322,1.1711264890686153,0.5,0.007319540556678845,1.9200825082443405,0.04690933036928546,0.09102342593912305
20220323,-0.0978160706025564,0.8,-0.000978160706025564,1.918204358982449,0.04784160621159783,0.09102342593912305
20220324,0.0372113416252577,0.8,0.00037211341625257704,1.9189181485595406,0.047487295298871635,0.09102342593912305
20220325,-0.5753172346533988,0.8,-0.005753172346533989,1.9078782817319857,0.052967265051280354,0.09102342593912305
20220328,0.026179552700702,0.5,0.0001636222043793875,1.9081904529821305,0.05281230946756854,0.09102342593912305
20220329,-0.1455705627066006,0.5,-0.0009098160169162537,1.9064543507446807,0.05367407599944085,0.09102342593912305
20220330,-0.5304613837731833,0.5,-0.003315383648582396,1.900133723163453,0.056811509494101964,0.09102342593912305
20220331,0.0219902818139531,0.5,0.00013743926133720686,1.9003948761388063,0.056681878364665095,0.09102342593912305
20220401,-0.5405911000199307,0.5,-0.0033786943751245666,1.8939740226602806,0.05986906199618747,0.09102342593912305
20220406,1.1271413449055987,0.5,0.007044633405659992,1.9073163753297655,0.05324618418463134,0.09102342593912305
20220407,0.1027638860565348,0.5,0.0006422742878533426,1.9085413955964414,0.05263810855180606,0.09102342593912305
20220408,0.6215788791037411,0.5,0.0038848679943983815,1.9159558269801784,0.04895773266060632,0.09102342593912305
20220411,0.7335821028261922,0.8,0.007335821028261922,1.9300109360249607,0.041981056797092076,0.09102342593912305
20220412,0.3912628936741804,0.8,0.0039126289367418035,1.9375623526614798,0.038232684157969654,0.09102342593912305
20220413,0.3333080498573295,0.8,0.0033330804985732946,1.9440204039539057,0.03502703627337134,0.09102342593912305
20220414,0.3024817599652479,0.8,0.0030248175996524795,1.9499007110858693,0.03210816906950209,0.09102342593912305
20220415,0.8275930719611022,0.8,0.008275930719611023,1.966037954280936,0.024097963332643912,0.09102342593912305
20220418,-1.0759357254345336,1.0,-0.01344919656793167,1.9395963233737976,0.03722306165482803,0.09102342593912305
20220419,0.1027738578297883,0.8,0.001027738578297883,1.9415897213416538,0.036233578652995035,0.09102342593912305
20220420,-0.5158249789299679,0.8,-0.00515824978929968,1.9315745165706368,0.04120492659284225,0.09102342593912305
20220421,0.5367557504212563,0.8,0.005367557504212563,1.941942353862001,0.03605853890157373,0.09102342593912305
20220422,0.3204030650229116,0.8,0.003204030650229116,1.9481643966847528,0.03297004091518785,0.09102342593912305
20220425,0.4116178692534137,0.8,0.004116178692534137,1.9561833894639402,0.02898957280256087,0.09102342593912305
20220426,0.6321859299844702,1.0,0.007902324124805878,1.9716417846550458,0.02131633367828034,0.09102342593912305
20220427,0.5975681073344038,1.0,0.007469601341680048,1.9863691627750173,0.014005956851243395,0.09102342593912305
20220428,0.8134305550229294,1.0,0.010167881937786618,2.0065663299069736,0.003980485829146119,0.09102342593912305
20220429,0.0683161621455858,1.0,0.0008539520268198225,2.008279841291346,0.003129932946267844,0.09102342593912305
20220505,-0.5873223120486187,1.0,-0.007341528900607734,1.9935359967959976,0.010448483353693638,0.09102342593912305
20220506,0.2053295546298389,1.0,0.002566619432872986,1.9986526450255062,0.007908681201240109,0.09102342593912305
20220509,0.7143231818416593,1.0,0.008929039773020741,2.016498693985392,0.0,0.09102342593912305
