trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20130524,0.0007692847119660567,-0.03726443950910179,-0.07113480669247585,-0.038341929915225045,-0.07229107966530256,-0.05233661356044277
20130527,-0.004056258639290437,-0.011946697650543663,-0.02063225198655312,-0.0067595119232255595,-0.015517582236645662,-0.009499901170154555
20130528,0.006865862638455536,0.00010878271623807165,-0.010914023019712563,-0.003733719103811545,-0.014694852038991162,-0.013114673132520216
20130529,0.07487357406972896,0.015294672243733758,-0.08386876271775787,-0.027942738903836806,-0.12658991553147367,-0.11859605553854055
20130530,-0.0008462673980448093,0.01854716308970314,0.03726040795958654,0.019760683624425734,0.038470985585278825,0.033761740424964354
20130531,0.021927521665807734,0.01761066953523436,-0.0006190348382240935,0.003800075221218124,-0.014273590275897238,-0.016669090504335772
20130603,0.08921344125928701,0.005741906260163859,-0.09116046027569212,-0.045332618715425106,-0.14145333812403757,-0.11845092480571787
20130604,-0.08998335478648004,-0.11780255192532423,-0.03183109182739915,-0.054205994896775134,0.031146941177680652,0.08842043398826979
20130605,0.08176728758224171,-0.019136531184508802,-0.06208321942381844,-0.05267179758093878,-0.09524607728382868,-0.05941273959407007
20130606,-0.06721673948268776,-0.07551689393359545,-0.06555500667165326,-0.038894403274347886,-0.02913230644939442,-0.00947454155065551
20130607,0.01125250631260008,-0.01824021579278579,-0.08776272776292932,-0.030344629091608052,-0.09954581691246898,-0.10573074247429258
20130613,-0.07535328454894366,-0.053394136316661456,0.006503200457527843,-0.008666564254667433,0.050894540682958976,0.07342968329125917
20130614,0.06413465286686461,0.06110969615558398,0.0650862627293757,0.02739894239342154,0.031403103344338344,0.016760544400903236
20130617,0.01730707012139275,-0.006278002868614522,-0.030446912110090412,-0.01509880420567015,-0.03917538360480699,-0.0388937268248196
20130618,-0.009987281585653502,-0.0028385634681650047,-0.01895322220606393,0.00039172305838701665,-0.015700599132943378,-0.01875294431155777
20130619,-0.03070262500744219,-0.03549037605724177,-0.023228098334683277,-0.014826847942921342,-0.002608647570553885,0.010609214564359207
20130620,-0.0017432072164415722,-0.001565398824721097,0.0024058273706128374,-0.0005043168679497562,0.0033958948565607993,0.004944640895718609
20130621,-0.10178599494349957,-0.20107780564894845,-0.11341190972997853,-0.11651538961148723,-0.02883054611610327,0.05611437401927039
20130624,0.01859834914419744,-0.03481922650061169,0.014353376571980686,-0.039836672400049296,0.009429449808686253,0.03510653248069863
20130625,0.034517912668330306,0.10393365577228517,0.09122783152319028,0.0676239317718865,0.05472120828393867,0.012584957790022954
20130626,0.034731344929385656,0.015084624129038387,0.05820126009614216,-0.006537914162394501,0.036678328228288315,0.03837990286362715
20130627,0.13860451211377184,0.17796692169307357,0.20864923672038976,0.07353240966550446,0.10432045026840582,0.05109989486759659
20130628,0.04579643567791761,0.018173134160594653,0.011022189035037426,-0.008731076050727104,-0.015755350263103263,-0.015154054345284914
20130701,-0.03830830169484359,-0.06775283299175185,-0.12046554157542193,-0.04300675248448409,-0.09584535149907565,-0.06933250998724877
20130702,-0.0783700050806338,-0.05025481847831468,-0.03289496823858944,-0.003619796339189886,0.013618752794729384,0.022839246913851197
20130703,0.01471841725288315,0.044792345465992464,0.0711225472688184,0.03452553531051947,0.061014050692825804,0.04099329040381503
20130704,-0.015118298119849246,-0.018236046358604874,-0.032935339382863985,-0.01101862446502919,-0.025799358359046305,-0.018528273817244575
20130705,0.02853503132701306,0.04037305578928796,0.059881076748139646,0.024022948162521963,0.043708373050669665,0.028174138913254168
20130708,0.05056844137229807,-0.006324591976121499,-0.015242444950032658,-0.03960710862096611,-0.048601465257287944,-0.03394473491665458
20130709,-0.04552552253980315,0.04974469282010065,0.10715620560917004,0.08513301465201252,0.1430237464468455,0.10862941616189722
20130710,-0.005480805666419102,0.003275591873387214,0.005670281520212597,0.007747137787940459,0.010169832149135465,0.007125426683246668
20130711,-0.048324252337145344,-0.05244212988313893,-0.05867633910212982,-0.014063171544469179,-0.020447616333741866,-0.005372580899124091
20130712,0.07863877138749183,0.12214692255484477,0.14672022263300288,0.05915951427876126,0.08410418816953058,0.043019096727738015
20130715,0.10065432638910764,0.1415399121655265,0.1535654824954339,0.05747679059200589,0.06980944948393321,0.02126071669020192
20130716,0.01693540103338688,0.05874430580956298,0.09507977345116947,0.05231434327842504,0.08889042416870127,0.07026785273184444
20130717,0.004607267412764421,0.013849862742752008,0.01531664890231956,0.010048305212118417,0.011559541552104743,0.005917133622037103
20130718,-0.015072097136618773,-0.03826155396899178,-0.030457687052631306,-0.02270852154743533,-0.015071154532328239,0.0042692123996013066
20130719,0.04786032756331849,0.13884036002446234,0.15140328564366862,0.10000181582007124,0.11319011497872788,0.05381389069415199
20130722,-0.024070048636085188,-0.03157475905736971,-0.047083896811218454,-0.018342972163711127,-0.03380378179654506,-0.02514392784229439
20130723,0.019428797516379707,-0.025386645190592503,0.021483188758026437,-0.03257883031780375,0.013606640695522757,0.04612064482371814
20130724,0.04013662911518926,0.10194766688154706,0.10679873188048707,0.07885649603542881,0.08417029246783615,0.03592213954467903
20130725,0.05273694592768439,0.1626347997650856,0.1927950821638227,0.13131654348572244,0.16234659695712758,0.09240869144453774
20130726,0.08798814760969816,0.3185019513580577,0.34703430915249744,0.2718424468365693,0.3028976868260871,0.1572415931214145
20130729,-0.00047011407640724337,-0.009532838356298982,-0.01744416163109225,-0.009578270496776708,-0.01762182539216558,-0.014771646700193843
20130730,0.004936002220999566,0.00769348902318632,0.00887837691145197,0.0040481369028201875,0.005191234337419874,0.002226258700589512
20130731,-0.07075488683609416,-0.12162102774270839,-0.15577053194715595,-0.07813638963189877,-0.11272433460630255,-0.07158028835780723
