trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20230707,6498.8,6504.4,6489.0,6500.8,6435.0,6477.8,6474.6,-26.6,-29.8,11066.0,1431572.936,66142.0,676.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6915.44688111348,6927.403564720333,6940.000784948982,6869.755268758721,6912.030685797237
20230710,6477.8,6474.6,6509.0,6516.2,6455.8,6481.6,6474.4,7.0,-0.2,8017.0,1039867.556,64805.0,-1337.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6919.50361305152,6948.754785446856,6956.441224908404,6891.960538314305,6911.817173589971
20230711,6481.6,6474.4,6498.8,6544.0,6475.8,6535.2,6533.8,60.8,59.4,7998.0,1042013.176,65251.0,446.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6976.7248845986005,6937.865662876329,6986.119421718271,6913.311759040828,6975.2302991477445
20230712,6535.2,6533.8,6539.0,6542.6,6446.0,6454.0,6460.4,-79.8,-73.4,11514.0,1494678.476,66838.0,1587.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6890.038928448918,6980.78161653664,6984.624836267415,6881.498440158309,6896.871319081405
20230713,6454.0,6460.4,6478.0,6527.6,6470.2,6520.8,6518.2,60.4,57.8,11114.0,1445710.024,65998.0,-840.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6961.352005675504,6915.660393320745,6968.611420722523,6907.333417237402,6958.576346981056
20230714,6520.8,6518.2,6539.0,6541.4,6510.8,6511.0,6519.0,-7.2,0.8,7755.0,1012148.148,65513.0,-485.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6950.889907519509,6980.78161653664,6983.343763023822,6950.676395312244,6959.430395810117
20230717,6511.0,6519.0,6498.2,6499.8,6441.6,6479.2,6473.8,-39.8,-45.2,11744.0,1518644.168,66244.0,731.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6916.941466564336,6937.225126254533,6938.933223912655,6876.801171598474,6911.176636968175
20230718,6479.2,6473.8,6486.2,6504.2,6451.8,6483.8,6486.0,10.0,12.2,9113.0,1180654.608,65285.0,-959.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6921.852247331437,6924.41439381862,6943.63049247249,6887.6902941690005,6924.200881611355
20230719,6483.8,6486.0,6481.0,6501.2,6438.0,6469.0,6461.6,-17.0,-24.4,10301.0,1331856.892,67120.0,1835.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6906.052343993811,6918.863076429724,6940.427809363512,6872.9579518677,6898.152392324997
20230720,6469.0,6461.6,6478.0,6496.0,6388.2,6396.4,6413.8,-65.2,-47.8,16300.0,2101524.696,72274.0,5154.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6828.547412756532,6915.660393320745,6934.876491974616,6819.793412258658,6847.122974788607
20230721,6396.4,6413.8,6393.6,6439.8,6375.2,6398.0,6398.6,-15.8,-15.2,14694.0,1882422.18,72009.0,-265.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6830.255510414654,6825.558241854819,6874.879561733087,6805.915118786418,6830.89604703645
20230724,6398.0,6398.6,6382.0,6432.6,6371.2,6385.0,6387.8,-13.6,-10.8,9236.0,1182316.448,71766.0,-243.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6816.377216942415,6813.174533833436,6867.193122271539,6801.644874641113,6819.3663878441275
20230725,6385.0,6387.8,6467.4,6503.8,6446.0,6488.8,6489.0,101.0,101.2,13781.0,1785727.752,70598.0,-1168.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6927.190052513068,6904.344246335688,6943.20346805796,6881.498440158309,6927.403564720333
20230726,6488.8,6489.0,6495.0,6495.0,6443.0,6462.8,6457.0,-26.2,-32.0,9534.0,1232644.516,70539.0,-59.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6899.433465568588,6933.808930938289,6933.808930938289,6878.295757049331,6893.241611557896
20230727,6462.8,6457.0,6472.2,6485.0,6401.4,6416.0,6412.4,-41.0,-44.6,11458.0,1476453.82,72175.0,1636.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6849.471609068525,6909.4685393100535,6923.133320575029,6833.885217938163,6845.62838933775
20230728,6416.0,6412.4,6400.0,6485.0,6379.2,6466.0,6469.8,53.6,57.4,16751.0,2156732.668,72930.0,755.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6902.849660884832,6832.390632487306,6923.133320575029,6810.185362931723,6906.906392822872
20230731,6466.0,6469.8,6479.8,6567.0,6479.8,6514.4,6513.8,44.6,44.0,17519.0,2287025.408,72453.0,-477.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6954.5196150430165,6917.582003186133,7010.673325553772,6917.582003186133,6953.8790784212215
20230801,6514.4,6513.8,6509.0,6534.8,6495.0,6502.8,6503.4,-11.0,-10.4,11350.0,1478404.016,71267.0,-1186.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6942.135907021634,6948.754785446856,6976.2978601840705,6933.808930938289,6942.776443643429
20230802,6502.8,6503.4,6493.2,6517.4,6468.8,6490.8,6481.4,-12.6,-22.0,12310.0,1597740.224,70783.0,-484.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6929.325174585721,6931.8873210729025,6957.722298151995,6905.838831786546,6919.290100844254
20230803,6490.8,6481.4,6479.8,6495.2,6454.2,6490.4,6484.6,9.0,3.2,9754.0,1263728.156,69473.0,-1310.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6928.89815017119,6917.582003186133,6934.022443145555,6890.252440656183,6922.706296160499
20230804,6490.4,6484.6,6528.0,6574.6,6502.2,6531.0,6540.2,46.4,55.6,16649.0,2178319.448,72112.0,2639.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6972.241128246031,6969.038445137053,7018.7867894298515,6941.495370399838,6982.062689780231
20230807,6531.0,6540.2,6525.0,6547.8,6502.6,6515.0,6510.8,-25.2,-29.4,11368.0,1481929.796,71366.0,-746.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6955.1601516648125,6965.835762028074,6990.176153656311,6941.922394814369,6950.676395312244
20230808,6515.0,6510.8,6503.8,6514.4,6462.2,6487.4,6485.6,-23.4,-25.2,12627.0,1637768.372,73332.0,1966.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6925.695467062211,6943.20346805796,6954.5196150430165,6898.792928946792,6923.773857196825
20230809,6487.4,6485.6,6478.4,6485.8,6432.2,6442.0,6440.4,-43.6,-45.2,13586.0,1754189.152,73821.0,489.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6877.228196013004,6916.087417735275,6923.98736940409,6866.766097857008,6875.520098354882
20230810,6442.0,6440.4,6441.2,6459.4,6405.0,6429.2,6431.0,-11.2,-9.4,12195.0,1569056.476,73466.0,-355.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6863.56341474803,6876.374147183943,6895.803758045079,6837.728437668937,6865.4850246134165
20230811,6429.2,6431.0,6439.2,6441.0,6303.8,6310.0,6322.4,-121.0,-108.6,18357.0,2335453.184,75869.0,2403.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6736.310139217953,6874.239025111291,6876.160634976678,6729.691260792732,6749.547896068398
20230814,6310.0,6322.4,6259.8,6330.6,6215.4,6326.2,6312.4,3.8,-10.0,23084.0,2894953.88,78412.0,2543.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6753.604628006437,6682.718575194382,6758.301896566272,6635.3188651815,6738.872285705136
20230815,6326.2,6312.4,6318.2,6338.6,6206.6,6270.2,6257.8,-42.2,-54.6,26862.0,3364258.892,84683.0,6271.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6693.821209972173,6745.064139715828,6766.842384856882,6625.924328061831,6680.58345312173
20230816,6270.2,6257.8,6247.8,6268.4,6197.0,6200.0,6211.4,-57.8,-46.4,27683.0,3450198.952,90161.0,5478.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6618.8784252220785,6669.907842758468,6691.899600106786,6615.6757421131,6631.048621036196
20230817,6200.0,6211.4,6173.0,6273.4,6131.8,6257.6,6255.2,46.2,43.8,44343.0,5516813.344,106222.0,16061.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6680.369940914465,6590.054277241272,6697.237405288416,6546.070762544636,6677.807794427281
20230818,6257.6,6255.2,6259.0,6280.6,6123.2,6127.4,6151.2,-127.8,-104.0,51556.0,6395319.456,114590.0,8368.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6541.3734939848,6681.864526365321,6704.923844749966,6536.88973763223,6566.781446649362
20230821,6127.4,6151.2,6119.4,6169.6,5910.4,6053.8,6074.2,-97.4,-77.0,49495.0,6059980.208,115780.0,1190.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6462.8010017111965,6532.83300569419,6586.424569717764,6309.712749102027,6484.5792468522495
20230822,6053.8,6074.2,6093.8,6108.8,5973.0,6084.0,6070.6,9.8,-3.6,56411.0,6832177.076,117360.0,1580.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6495.041345008246,6505.5034431642425,6521.516858709134,6376.542069976044,6480.736027121476
20230823,6084.0,6070.6,6071.2,6075.0,5955.6,5974.8,5985.2,-95.8,-85.4,46053.0,5540150.824,114016.0,-3344.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6378.463679841431,6481.376563743271,6485.4332956813105,6357.966507943969,6389.566314619223
20230824,5974.8,5985.2,6003.2,6051.6,5948.0,5977.6,5993.0,-7.6,7.8,48013.0,5757207.112,114480.0,464.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6381.452850743145,6408.782413273093,6460.4523674312795,6349.853044067891,6397.893290702566
20230825,5977.6,5993.0,5950.0,5986.2,5851.0,5881.8,5878.4,-111.2,-114.6,60560.0,7171935.668,118272.0,3792.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6279.1805034631,6351.9881661405425,6390.633875655549,6246.299623544254,6275.550795939591
20230828,5881.8,5878.4,6230.0,6230.0,5888.2,5907.6,5921.2,29.2,42.8,74218.0,8972894.176,114864.0,-3408.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6306.7235782003145,6650.905256311862,6650.905256311862,6286.012894095587,6321.24240829435
20230829,5907.6,5921.2,5908.0,6143.8,5904.8,6099.2,6102.0,178.0,180.8,76913.0,9311491.888,116174.0,1310.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6511.268272760402,6307.1506026148445,6558.881494980549,6303.734407298602,6514.257443662116
20230830,6099.2,6102.0,6121.0,6203.6,6103.0,6128.2,6139.6,26.2,37.6,59262.0,7289178.908,108927.0,-7247.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6542.227542813861,6534.541103352313,6622.721644952852,6515.325004698442,6554.397738627979
20230831,6128.2,6139.6,6124.4,6138.8,6081.6,6110.6,6106.2,-29.0,-33.4,44355.0,5417771.14,105451.0,-3476.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6523.438468574522,6538.170810875821,6553.543689798918,6492.479198521063,6518.741200014686
20230901,6102.0,6094.4,6120.2,6145.0,6073.0,6095.0,6088.0,0.6,-6.4,10612.0,1295216.376,69374.0,-53.0,IM2312.CFX,IM.CFX,6103.0,1.0689622649218116,6515.325004698441,6542.262853774471,6568.773117944532,6491.807834870162,6507.842268843989
20230904,6095.0,6088.0,6129.0,6187.8,6089.0,6186.8,6168.6,98.8,80.6,14566.0,1789374.556,70053.0,679.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6613.455740618264,6551.669721705783,6614.5247028831855,6508.91123110891,6594.000627396687
20230905,6186.8,6168.6,6173.0,6195.2,6128.2,6147.0,6138.4,-21.6,-30.2,13050.0,1605698.216,70565.0,512.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6570.911042474376,6598.704061362343,6622.435023643607,6550.814551893845,6561.717966996048
20230906,6147.0,6138.4,6128.8,6191.0,6081.8,6166.0,6172.0,27.6,33.6,13807.0,1696466.268,72447.0,1882.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6591.2213255078905,6551.455929252799,6617.945382130935,6501.214702801474,6597.635099097421
20230907,6166.0,6172.0,6163.4,6163.4,6053.0,6059.8,6066.4,-112.2,-105.6,16384.0,1998239.044,74505.0,2058.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6477.697532973194,6588.442023619093,6588.442023619093,6470.428589571726,6484.752683921677
20230908,6059.8,6066.4,6044.0,6091.8,6036.8,6057.2,6074.0,-9.2,7.6,17302.0,2099802.712,75360.0,855.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6474.918231084397,6460.807929187429,6511.904325450692,6453.111400879992,6492.8767971350835
20230911,6057.2,6074.0,6075.0,6182.2,6041.0,6144.6,6148.6,70.6,74.6,21013.0,2573906.196,78353.0,2993.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6568.345533038564,6493.945759400005,6608.538514199623,6457.601042392664,6572.621382098251
20230912,6144.6,6148.6,6144.8,6177.4,6133.8,6155.0,6155.8,6.4,7.2,16923.0,2083671.696,80336.0,1983.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6579.46274059375,6568.5593254915475,6603.407495327999,6556.800740577408,6580.317910405688
20230913,6155.0,6155.8,6147.8,6147.8,6013.0,6065.6,6046.0,-90.2,-109.8,27435.0,3330684.148,88658.0,8322.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6483.897514109741,6571.766212286313,6571.766212286313,6427.670098974853,6462.945853717273
20230914,6065.6,6046.0,6056.2,6064.6,5993.2,6041.0,6022.2,-5.0,-23.8,21374.0,2576912.296,89615.0,957.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6457.601042392664,6473.849268819475,6482.828551844819,6406.5046461294005,6437.504551812133
20230915,6041.0,6022.2,6050.0,6087.0,6001.2,6043.8,6022.6,21.6,0.4,22088.0,2668005.472,92546.0,2931.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6460.594136734445,6467.22170277696,6506.773306579067,6415.0563442487755,6437.932136718103
20230918,6043.8,6022.6,6026.0,6081.6,6000.0,6060.0,6065.4,37.4,42.8,15326.0,1854176.448,91049.0,-1497.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6477.911325426178,6441.566608418837,6501.00091034849,6413.77358953087,6483.683721656756
20230919,6060.0,6065.4,6052.6,6057.6,5996.8,6021.6,6014.4,-43.8,-51.0,13346.0,1605242.2,91775.0,726.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6436.863174453181,6470.001004665757,6475.345815990366,6410.35291028312,6429.1666461457435
20230920,6021.6,6014.4,6003.6,6027.0,5971.0,5974.0,5978.2,-40.4,-36.2,11296.0,1355065.596,90930.0,-845.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6385.980570642902,6417.621853684588,6442.6355706837585,6382.773683848137,6390.470212155574
20230921,5974.0,5978.2,5960.2,5989.8,5915.2,5927.2,5935.2,-51.0,-43.0,14818.0,1761973.86,93035.0,2105.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6335.953136644562,6371.228891386982,6402.870174428667,6323.1255894655,6344.504834763936
20230922,5927.2,5935.2,5930.0,6057.2,5912.8,6056.0,6041.8,120.8,106.6,20359.0,2440529.216,93055.0,20.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6473.635476366491,6338.946230986343,6474.918231084397,6320.560080029688,6458.456212204601
20230925,6056.0,6041.8,6047.8,6061.4,6001.8,6018.2,6014.8,-23.6,-27.0,12940.0,1558127.788,91366.0,-1689.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6433.228702752446,6464.869985794132,6479.4078725970685,6415.697721607728,6429.594231051712
20230926,6018.2,6014.8,6010.0,6025.0,5992.0,5997.0,5997.4,-17.8,-17.4,10577.0,1270360.908,91165.0,-201.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6410.566702736104,6424.463212180088,6440.4976461539145,6405.221891411495,6410.994287642072
20230927,5997.0,5997.4,5995.8,6065.0,5986.0,6034.4,6042.2,37.0,44.8,16279.0,1965312.924,91813.0,648.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6450.54589144418,6409.283948018198,6483.256136750787,6398.808117821964,6458.8837971105695
20230928,6034.4,6042.2,6043.6,6060.0,6028.6,6054.0,6049.0,11.8,6.8,10923.0,1320859.716,89262.0,-2551.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6471.497551836647,6460.380344281461,6477.911325426178,6444.345910307634,6466.152740512038
20231009,6054.0,6049.0,6050.0,6058.0,6002.8,6032.4,6037.4,-16.6,-11.6,13497.0,1628141.108,91549.0,2287.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6448.407966914336,6467.22170277696,6475.773400896334,6416.766683872651,6453.752778238945
20231010,6032.4,6037.4,6060.4,6073.6,6006.8,6015.0,6016.0,-22.4,-21.4,12084.0,1457701.144,90930.0,-619.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6429.808023504696,6478.338910332146,6492.449212229115,6421.042532932338,6430.876985769619
20231011,6015.0,6016.0,6040.0,6095.0,6009.0,6021.2,6023.0,5.2,7.0,15117.0,1828851.796,92572.0,1642.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6436.435589547212,6456.532080127742,6515.325004698441,6423.394249915165,6438.359721624071
20231012,6021.2,6023.0,6060.2,6074.0,6034.2,6071.0,6067.8,48.0,44.8,12390.0,1501058.084,90909.0,-1663.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6489.669910340318,6478.125117879163,6492.8767971350835,6450.332098991195,6486.249231092568
20231013,6071.0,6067.8,6052.6,6063.8,6037.8,6061.0,6055.0,-6.8,-12.8,10099.0,1222179.984,91950.0,1041.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6478.9802876911,6470.001004665757,6481.973382032881,6454.180363144914,6472.566514101569
20231016,6061.0,6055.0,6076.2,6076.2,5974.0,5991.0,5988.2,-64.0,-66.8,14818.0,1777917.204,94316.0,2366.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6404.152929146573,6495.228514117911,6495.228514117911,6385.980570642902,6401.159834804792
20231017,5991.0,5988.2,6002.0,6002.0,5939.2,5981.4,5970.6,-6.8,-17.6,13894.0,1657627.592,94713.0,397.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6393.890891403324,6415.911514060713,6415.911514060713,6348.780683823623,6382.346098942168
20231018,5981.4,5970.6,5969.8,5969.8,5869.8,5874.4,5883.6,-96.2,-87.0,17970.0,2122297.712,98036.0,3323.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6279.511929056689,6381.490929130231,6381.490929130231,6274.59470263805,6289.346381893971
20231019,5874.4,5883.6,5850.0,5897.4,5801.2,5815.0,5822.2,-68.6,-61.4,19853.0,2321034.496,96974.0,-1062.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6216.015570520334,6253.429249792598,6304.098061149891,6201.263891264413,6223.712098827771
