,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20200521,14.432802701861643,5.641314690826603,-12.688082289607792,32.15486704866589,-6.86502602869277,27.455268501924234,-8.649057121249848,0.0,-10.263618628335164,-0.39479500945448004,-8.98084306377889,8.098457582383139,-12.50863890837649,-16.087037833186386,-6.679369657417787
20200522,14.268714412666695,5.875246306921564,-12.981745259107345,31.657628221671292,-5.57797405043392,22.37997376915438,-8.877853155353565,0.0,-12.093324435882186,3.978614205050015,-9.346717310591186,3.9596657604622396,-12.276622074997524,-16.507361119887246,-8.297364310655304
20200525,14.16125361428134,6.231360636245469,-13.164838889866868,30.967003932022294,-4.524462812075346,22.713654358151867,-9.048734061588494,0.0,-13.558658297113878,7.78010523504067,-9.558037302345253,0.568826687956336,-12.047194072715225,-16.85300778571092,-9.554990594557907
20200526,14.069261597319345,6.519173407212827,-14.103342260037122,30.48942908656494,-1.1473693710950645,23.12846564033998,-9.25689666948374,0.0,-14.78358420051942,10.997011365240818,-9.760597872853959,-2.264389602075437,-11.868721321532023,-17.269084013760573,-10.977151319280374
20200527,13.695229887431282,7.136624875717361,-14.904423445455885,29.942936220602675,1.8313501232629619,23.475595867801175,-9.40453187665092,0.0,-15.7072278175809,13.729307456645726,-10.061753372429148,-4.550369468105899,-11.754466453749503,-17.739355774173468,-8.920719305260725
20200528,13.403555774860433,8.556995562958454,-15.612921549192693,29.766294018043954,4.256698452163409,24.00118233104479,-9.530154490668266,0.0,-16.40773136396951,14.461964606692094,-10.341611021731827,-6.594660901473705,-11.948852296849653,-18.15951969737212,-7.231213626615145
20200529,10.925905813195934,9.778096312006797,-16.24334234766648,29.354610286486277,6.231182884422924,24.04823346399628,-9.600767502638513,0.0,-17.541467986374627,15.081354678369978,-10.576458088188751,-8.729058356177168,-12.111118484071001,-14.77509228864355,-5.854798532523905
20200601,8.898739558178812,10.75226677342848,-16.760171002880544,28.967610440251867,7.682036624437674,24.071190179123064,-9.622983560830463,0.0,-18.43822498892153,15.57207013235535,-8.614666075791728,-10.374700859850963,-12.383500372847994,-12.005714980087816,-4.728281919350795
20200602,7.238731871177061,11.43698630385137,-17.20680720770578,28.964983722646807,9.010333892514934,24.50376758105401,-9.68074753953117,0.0,-19.17686742402862,15.978773529460351,-7.007550895835389,-11.72598874398552,-12.727344081017888,-9.73781652037784,-3.807149858730515
20200603,5.8822418336952085,11.99356878412837,-17.716285677032417,29.121022340145114,10.702702769220812,25.014974715837866,-10.195466863191193,0.0,-19.93843340002857,16.299809544180366,-5.68692002853646,-13.298289419865286,-12.732042201052213,-7.890520585558303,-3.049482522522328
