trade_date,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20160426,75.39157468001953,101.38650280089581,81.69638132863511,60.55710568274372,,
20160427,73.71517378632822,98.2572291149046,80.19356702703065,60.860940504868516,,
20160428,72.35932181969319,96.68869049878067,80.37225538566496,62.147842599262454,,
20160429,70.59964521262991,94.90152111846429,80.45125054346778,63.4527235977029,,
20160503,69.54680649395148,93.41614020692619,78.676306482004,63.91338206604883,,
20160504,67.68840336487146,91.04864195743279,76.50135698445695,64.25015421013028,,
20160505,66.45795699325811,89.15526073456105,74.45335036256637,64.40566271819627,,
20160506,65.46876163961541,87.30723287737322,71.0829986685881,64.06949352371193,,
20160509,64.92762875335647,86.32157936740842,67.90167749917094,63.791943534054354,,
20160510,64.48734131236606,85.84200137662096,65.38339098737347,63.87926951237128,,
20160511,64.00482573191292,85.2228705591503,63.40599360283002,63.9405173484272,,
20160512,66.30461455584654,86.66516465216147,61.96218696066905,64.3761244793279,,
20160513,67.97287085736805,87.2293326579375,60.30522873362841,63.98852417082966,,
20160516,69.3085141649888,87.78559310330714,58.90010150331628,63.63948365933459,,
20160517,70.3781116408183,87.94545004257284,57.75566896467283,63.45281765757406,,
20160518,71.15655149414985,87.91223933315491,56.75266371606802,63.3262443586967,,
20160519,71.7710720033499,88.84231611050303,56.071799195460684,63.20948337698363,,
20160520,72.60931104569381,89.57130942602244,56.230629971543664,64.25313862235734,,
20160523,73.64647455009633,90.08322847117735,56.66114603268601,65.84254165439823,,
20160524,73.51339785688943,90.68833480446894,57.055642636727605,67.55571385246961,,
20160525,74.15455149421929,94.05543669465291,57.41856048197879,69.13083001758932,,
20160526,73.39843009024146,96.68502178574717,57.749991902750004,69.72954879254704,,
20160527,72.73305111548233,98.43492796823439,58.036567151290186,69.9844324875466,,
20160530,73.4907246160606,101.01460784520967,58.678597211052335,70.4732173467044,,
20160531,74.07378302894601,104.15006913694646,61.145666554466885,72.25746683836822,,
20160601,76.21768828622928,110.59745466101967,63.48183207307586,72.74568765930132,,
20160602,74.69114293562147,113.0011014389802,65.3709649079951,72.76016919019064,,
20160603,73.47095443345403,115.96619961891449,69.7995743632943,73.29737401539312,,
20160606,72.57299818021274,118.4750587784463,73.44116136630907,73.17467407278018,,
20160607,71.86935695257652,120.42840032834454,76.41644580749218,73.59465855900605,,
20160608,71.25372536651778,123.88763864788056,78.87029003640521,73.99042165294507,,
20160613,70.90395764791991,124.89709115214693,79.89746861268128,73.72008312597995,,
20160614,70.64827298499299,127.45024641504783,83.58776643047345,75.73183884557862,,
20160615,70.45737323343026,129.05318129279763,86.37718774541882,77.35516656009926,,
20160616,70.16737214813702,131.28467195214932,88.14485168887472,78.63134383555192,,
20160617,70.24117405741436,133.91299554705117,89.58062703971943,80.29140884846511,,
20160620,70.31116388264545,135.54719047473165,90.22917793043734,81.49081153520243,,
20160621,70.36970505723724,137.2017039549164,90.6852562218258,81.85986441046603,,
20160622,70.77217352048112,139.5789419418739,93.50945248466468,82.64580862651763,,
20160623,72.81389257730034,141.72805476818968,95.031653283077,83.36701569936601,,
20160624,73.30307797671576,142.20748238577085,93.85164672272458,83.94902168204595,,
20160627,74.87268031992173,141.7898689743894,92.32174404800831,84.10383316312185,,
20160628,75.87108556274625,141.88087355946263,90.81328673699063,84.80237309963293,,
20160629,76.08121584768533,142.01693534395523,89.4621504999581,85.09671433908495,,
20160630,76.08310971479018,138.97979376915683,87.86612995986916,85.17702891366321,,
20160701,76.50696406780848,137.4712114206412,87.54868963797618,82.7018246389042,,
20160704,81.1138000274999,136.61150245522518,83.73852879320766,79.1713017244689,,
20160705,82.96167792355398,131.02937922393704,80.58310282741188,75.67031079190419,,
20160706,84.64045952037733,125.74098373790689,76.46668820984044,72.0877405039591,,
20160707,85.97817944327291,121.41775894670015,72.93477806392322,69.12310305139567,,
20160708,87.4848944663637,117.9238075800684,69.9473693613425,66.39152296757366,,
20160711,88.0756343478417,115.24657561683091,67.12039235165417,64.09283700132205,,
20160712,89.07611979527405,113.64757974407233,64.6174876591616,62.02483479621604,,
20160713,89.82892918251105,112.39940952148832,62.41026329271563,60.27963679141795,,
20160714,91.04613512194851,111.44273506933865,60.779944256748905,58.77570608868119,,
20160715,92.04603467183289,110.1954432202638,59.34367061806389,57.51122152647091,,
20160718,92.6104200864664,108.00509803121038,58.14585411280626,56.10854896927466,,
20160719,92.090881811561,105.91593302991136,57.17499842251519,55.095330176493405,,
20160720,91.38286348868061,104.17840470716968,56.309601109015176,54.26832576274289,,
20160721,90.73590650328742,102.76545444529852,55.78185553168317,53.6014269563737,,
20160722,91.91955190603234,102.09706189807885,55.70098308022256,53.06689619877727,,
20160725,93.06824847035736,100.72328873525838,55.53032668481556,52.80600356595041,,
20160726,92.81024684286298,99.21600049595644,55.15082045405135,52.60329537374865,,
20160727,93.09609342214607,97.80492089194794,54.88116061750995,52.27079435287557,,
20160728,93.43726471728843,97.05086056654119,54.60648091964412,52.022809837582976,,
20160729,93.78106902863179,96.0648873903694,54.200768504681626,53.186538002661436,,
20160801,91.83137120457432,94.59408629336359,55.17172051916661,56.15297768872071,,
20160802,91.53051024234652,95.56202851941843,56.030779241237894,59.140772518943606,,
20160803,91.04136749719115,96.7898939312841,57.713532480039696,62.81243435650915,,
20160804,90.66402307609256,98.03147270531662,58.58632295857764,65.31845938431962,,
20160805,90.2939700665043,98.9402926225133,59.3057997744441,67.22435947316829,,
20160808,91.19071404372674,99.6965592526357,60.723070772059714,69.35470194966881,,
20160809,91.25020734153154,99.28434976413295,62.49802017819538,71.90003266055894,,
20160810,89.50236901687015,98.97442081306517,64.10260336669126,73.46038941978165,,
20160811,87.85498735062728,98.5331786123576,65.64700471241629,74.77692213092615,,
20160812,86.25183688149498,98.30280157806583,66.99001610858828,76.22774174988461,,
20160815,83.98346617872744,96.69581528398494,66.9446594817855,78.1711107238196,,
20160816,82.65370035789248,95.61664905240582,67.06986399849225,79.60003807637565,,
20160817,81.56598057769385,94.75296334494811,67.17320628949884,80.51466380807943,,
20160818,80.27099235318889,92.71968424406218,67.37006160093948,80.91109977031068,,
20160819,79.26275841672106,90.84871581823127,67.73253252181533,81.35360138111383,,
20160822,78.46695054594493,89.89980997014436,67.93853879650759,81.77142372809287,,
20160823,78.09626307236029,89.58113573195655,68.34050401267805,82.12833508462157,,
20160824,78.01240259423507,89.36236704272386,68.68052320204217,82.88809527739949,,
20160825,78.04772265159251,89.68112751501334,68.40064849814262,83.02316338699742,,
20160826,77.06460398524034,90.4230908234473,68.33960013898391,83.5023615064989,,
20160829,77.87428838993435,92.74105611386888,69.69574034258592,83.90660233850201,,
20160830,78.41333468411743,94.98616462017691,71.5825868717649,84.13205314562403,,
20160831,78.97905108076108,97.06416849730495,73.43664647439378,84.36461794446755,,
20160901,78.58853492713827,93.0741332936023,75.4733514033798,85.0500691823961,,
20160902,78.22365761918361,89.85969969239048,76.96726387422918,85.3535063538634,,
20160905,77.7686489720546,87.28921779960771,79.23470737813028,86.21520328663742,,
20160906,77.68646408494097,85.45992576630836,80.70423051388276,86.76420796972458,,
20160907,79.13346075916448,83.5126753231706,82.04408959554657,88.27119054980713,,
20160908,80.14491507320766,81.87306289299048,83.36665352444184,89.64946798339167,,
20160909,81.25237465739231,80.62683559320209,84.35867411405832,90.87963345086598,,
20160912,81.82868136699402,79.84568758790586,84.29053732815645,88.60185805778183,,
20160913,82.67224010608673,78.86907541779291,84.24983898638777,86.9827211303296,,
20160914,83.00947987634675,78.07307553687835,83.87095462843793,85.77365719080251,,
20160919,84.14299543125802,78.14266862627909,83.34895087569927,84.87371882998916,,
20160920,83.71427111847257,77.938324196095,81.84746049095239,84.15936674017735,,
20160921,83.549186747006,77.78026259429325,80.8890306394557,83.57572596870432,,
